Front Card Printing Unique ID	Front Card Name	Front Card Printing	Back Card Printing Unique ID	Back Card Name	Back Card Printing	Is DFC		
pbzd6MFCkkqntLzrgKrmR	Agility	KYO027 - N	bWbMNtBpwWQWdfrzR8W8H	Might	KYO028 - N	No		
bWbMNtBpwWQWdfrzR8W8H	Might	KYO028 - N	8th6WgKrHpHhdm9jRcHMc	Vigor	KYO029 - N	No		
8th6WgKrHpHhdm9jRcHMc	Vigor	KYO029 - N	pbzd6MFCkkqntLzrgKrmR	Agility	KYO027 - N	No		
7Ltc6HmMDQFzzRD7cwmHQ	Agility	LGS229 - N	Mm6NDMDtrPqLTHGDmGRKK	Gold	LGS229 - N	No		
wmhk6pzP9hh9HzfWpbHjg	Might	LGS230 - N	dntLnwMMJtBdhzLrqMFmL	Vigor	LGS230 - N	No		
W9wh9JzqwjFT6prMhjqNp	Fabric of Blossoms	LSS010 - N	JfjqPNnNBCWwLWjNHQGWb	Blossom of Spring	LSS010 - N	Yes		
cCDK8KWzHWNMBfTQJ8R88	Fabric of Spring	LSS011 - N	BPdfCzDNJchD7ntDnWtKt	Fyendal's Spring Tunic	LSS011 - N	Yes		
pJTr9NdJrQftrMhzmtmPF	Fabric of Scales	LSS017 - N	fKzpjnqMzg8bKJ9DrWjmG	Snapdragon Scalers	LSS017 - N	Yes		
Q99HrDKt8kkp97hqFNMnj	Venomback Fabric	LSS018 - N	KHRfzdLTN7fBPQhqfCpq7	Scabskin Leathers	LSS018 - N	Yes		
z8wHgc7wCGRC8pNDMrPc7	Frostbite	LXI030 – N	z8wHgc7wCGRC8pNDMrPc7	Frostbite	LXI030 – N	No		
BpjDthwCBKTtL7fFzBH6G	Prism, Sculptor of Arc Light	MON001 – F	pbRFQCzPPgmDbtwHrhN7W	Prism	MON002 – F	No		
rnwkKdmQwMkKDRpKW9K6L	Prism, Sculptor of Arc Light	MON001 – U	rRBFBkDTRDMMFD88Q6NQJ	Prism	MON002 – U	No		
pbRFQCzPPgmDbtwHrhN7W	Prism	MON002 – F	pbRFQCzPPgmDbtwHrhN7W	Iris of Reality	MON088 – F	No		
rRBFBkDTRDMMFD88Q6NQJ	Prism	MON002 – U	rRBFBkDTRDMMFD88Q6NQJ	Iris of Reality	MON088 – U	No		
rRBFBkDTRDMMFD88Q6NQJ	Prism	MON002 – U	gP7bp9zBnthqpTn6T6HMb	Ravenous Meataxe	MON221 – U	No		
7qqw66BtLdCq8GpDJgTM8	 Ser Boltyn, Breaker of Dawn	MON029 – F	8wCfLRQR6PgLHLGCNzwhz	Boltyn	MON030 – F	No		
fCgt9DFn8tFmbLB7QnqMn	 Ser Boltyn, Breaker of Dawn	MON029 – U	pTRkj6B7KDr7r89nqWPmz	Boltyn	MON030 – U	No		
8wCfLRQR6PgLHLGCNzwhz	Boltyn	MON030 – F	8MQL89gPcpdBPLKNpgKTc	Hatchet of Body	MON105 – F	No		
pTRkj6B7KDr7r89nqWPmz	Boltyn	MON030 – U	WWmg8GFgLWmjFMGLcJ6Bz	Hatchet of Body	MON105 – U	No		
pTRkj6B7KDr7r89nqWPmz	Boltyn	MON030 – U	wKwnQjcqGHcrRF9mKrkjJ	Galaxxi Black	MON155 – U	No		
R76qK9fpJ7WdGNcWr8R8z	Iris of Reality	MON088 – F	rdpM9m6KbKC7MGCgrgt6Q	Spectral Shield	MON104 – F	No		
gf7HqDhWNk7NjcJg6HT6P	Iris of Reality	MON088 – U	9FBmMJqqwccQQR8RJgN7k	Spectral Shield	MON104 – U	No		
gf7HqDhWNk7NjcJg6HT6P	Iris of Reality	MON088 – U	fp8QBWGwtHdBFkcNTMtmw	Levia	MON120 – U	No		
rdpM9m6KbKC7MGCgrgt6Q	Spectral Shield	MON104 – F	RBgpLfthF7rMmwKtrbJGz	Soul Shackle	MON186 – F	No		
rdpM9m6KbKC7MGCgrgt6Q	Spectral Shield	MON104 – F	8MQL89gPcpdBPLKNpgKTc	Hatchet of Body	MON105 – F	No		
rdpM9m6KbKC7MGCgrgt6Q	Spectral Shield	MON104 – F	NLKLrjGFTnftLPrNznfmH	Hatchet of Mind	MON106 – F	No		
9FBmMJqqwccQQR8RJgN7k	Spectral Shield	MON104 – U	MkrGPHzTFDPNBPFf7WMN9	Soul Shackle	MON186 – U	No		
9FBmMJqqwccQQR8RJgN7k	Spectral Shield	MON104 – U	WWmg8GFgLWmjFMGLcJ6Bz	Hatchet of Body	MON105 – U	No		
9FBmMJqqwccQQR8RJgN7k	Spectral Shield	MON104 – U	PfJqhKqnTPF8PGmjDpRk8	Hatchet of Mind	MON106 – U	No		
